battery,model,optimizer,test_RMSE_mean,test_RMSE_std,test_RMSE_count,test_MAE_mean,test_MAE_std,test_R2_mean,test_R2_std,test_MAPE_mean,test_MAPE_std,hpo_time_mean,hpo_time_std,training_time_mean,training_time_std,inference_ms_mean,inference_ms_std,model_size_mb_mean,model_size_mb_std,hpo_peak_ram_delta_mb_mean,hpo_peak_ram_delta_mb_std,train_peak_ram_delta_mb_mean,train_peak_ram_delta_mb_std,RMSE_CI_lower,RMSE_CI_upper,baseline_RMSE_mean,RMSE_Improvement_pct,Pareto_Optimal_Battery,Pareto_Optimal_Overall,GreenAI_Score
B0006,RandomForest,GA,0.042113236268031914,0.0011164136093952813,20,0.037652387793423184,0.001354634315884778,-4.202561671783698,0.27595523566434077,6.491022796513154,0.22866189157978759,28.32853286496829,9.475665144544944,0.29531101495958867,0.15503543244755244,14.911969972308725,8.70088106565845,1.2214471817016601,0.7497599459177205,0.1625,0.3426839405346112,0.019921875,0.010288236507977397,0.041643391531604054,0.042585271922511714,0.04054930215916004,-3.8568705886312813,False,False,0.7678490944639367
B0006,RandomForest,GWO,0.04132838181054899,0.0011696230108780216,20,0.036517620590478354,0.0013357333050197809,-4.010917769454627,0.2881681524386072,6.300492385026937,0.22580804413136632,28.219705595006236,9.660714588864627,0.26922566497232764,0.17579741527132756,12.344070035032928,7.567217345441485,2.2860589981079102,1.640887265407032,0.9966796875,1.0447573115004731,0.014453125,0.0076146830818820035,0.040922601138699895,0.0419534347336434,0.04054930215916004,-1.9213145723963057,False,False,0.7027487594296418
B0006,RandomForest,PSO,0.04107753805951405,0.00102085158219792,20,0.0363984399677087,0.0010986936634789365,-3.9494131162034103,0.24702105230329988,6.278842267543534,0.18630517175100259,32.274474999983795,12.029342797568798,0.36700517500285057,0.15108261708297963,17.29745747288689,7.9663217108966355,3.343673896789551,1.8479550409997243,0.9484375,1.2817066089053601,0.0205078125,0.01671155272713488,0.040686371653424896,0.041540467548976286,0.04054930215916004,-1.302700348037138,False,False,0.5703200715811854
B0006,RandomForest,RandomSearch,0.04115010672869946,0.0008259498228087402,20,0.036495601781546164,0.0009464435138473031,-3.9659034088517777,0.20192299873296127,6.295544918372542,0.16019894964748949,26.120635870005934,7.030969248639264,0.3801860099425539,0.23893286983474518,18.30162248807028,13.959525758884965,2.2043962478637695,1.5743543828272233,0.23828125,0.48709477559844144,0.0353515625,0.06982509934000296,0.040873508560616646,0.04158803368431372,0.04054930215916004,-1.4816643876661586,False,False,0.7112323798588656
B0006,RandomForest,WOA,0.04284623172095406,0.002022512748858684,20,0.03821890867194543,0.0022693442856093933,-4.393041486764917,0.5143583558046223,6.588782259671173,0.38461705829288995,20.328145094914362,12.112673517198882,0.19405912505462766,0.1580718783523171,10.373142489697784,8.468639915199073,1.5837488174438477,1.789958754742981,0.3015625,0.6580764937046543,0.024609375,0.03532943454560942,0.0420642825911942,0.04378010759567772,0.04054930215916004,-5.664535366794576,False,False,0.7805665415668899
B0006,XGBoost,Baseline,0.03668576422565793,0.0,20,0.03246258391885347,0.0,-2.9453477867128597,0.0,5.598910235432633,0.0,0.0,0.0,0.05209362504538149,0.010487629543213153,0.19991496810689569,0.0563965923707954,0.09165487289428711,9.73544665401243e-07,0.0,0.0,0.584765625,0.9034205525374778,,,0.03668576422565793,0.0,,,
B0006,XGBoost,Bayesian,0.03966499433226893,0.0053836726265709,20,0.03498460761266597,0.0058658527742902426,-3.6928842781218734,1.3917148488559656,6.036222615972515,0.9949739695569347,103.29462127501611,43.69098289999773,0.1033028099918738,0.06834487048353156,0.26176251703873277,0.08676761042269454,0.27202186584472654,0.13589605201450428,240.730078125,56.721972478336035,1.83984375,2.8760057169882063,0.037838370683110585,0.042781451577087355,0.03668576422565793,-8.120943285481106,True,True,0.6656323164658129
B0006,XGBoost,GA,0.08907259615345982,0.03251599143304614,20,0.08680930467853869,0.03354795220228727,-25.20279591450798,16.905445590847343,14.837521453052101,5.698206305995461,6.095295560080558,4.24052250718369,0.09510764002334327,0.08202502020060455,0.2553124912083149,0.07485093878885013,0.24946422576904298,0.11897543659170684,1.8173828125,3.0340128088875513,0.72734375,1.6640328674468112,0.07542131924551253,0.10240740103134217,0.03668576422565793,-142.79880229716645,False,False,0.6675943297106444
B0006,XGBoost,GWO,0.04083294674104092,0.007986609147764591,20,0.036305837769790364,0.008804964293984835,-4.065418516067725,2.325171369344391,6.259756386017868,1.4938280101671635,7.097303804988042,3.87333183671294,0.11616444003302603,0.04674775442849921,0.25680752005428076,0.1479390675422161,0.25349440574646,0.10996477228097108,2.341796875,0.9869981073582994,1.4978515625,0.9441159740401643,0.03835611365189755,0.045764293467197,0.03668576422565793,-11.304609847768843,False,False,0.9378968110044055
B0006,XGBoost,PSO,0.03774112946589918,0.002669713455068101,20,0.03305432438951962,0.0030613612712073004,-3.1954592851699024,0.6012778514033055,5.706888934280814,0.5191014618255265,8.197913254983723,3.873808636448692,0.1559901649830863,0.09357985385521368,0.2736475318670273,0.06478119897572461,0.324691104888916,0.1865561627909137,3.2869140625,2.2780683116429636,2.08671875,0.9991520549168541,0.03670492017574561,0.038989030399673136,0.03668576422565793,-2.8767704926346505,True,False,0.91568558154059
B0006,XGBoost,RandomSearch,0.0874692129791961,0.01105099885222281,20,0.08555402398210994,0.011345525521817043,-21.76862657890063,5.4755923381975675,14.623378019968374,1.9261059496472774,4.803060339903459,1.7050864954805693,0.08078916997183114,0.06519640279490929,0.2827425138093531,0.1487844259680853,0.20396170616149903,0.089947097002143,0.5890625,0.3678705677623889,0.0205078125,0.003556505734376273,0.0821953241648139,0.09183546795482286,0.03668576422565793,-138.42821548207073,False,False,0.6511278033515178
B0006,XGBoost,WOA,0.039951810861869455,0.006923103422838944,20,0.03542507942007828,0.007550448127940698,-3.8125879709793233,1.883943695129941,6.109917954638254,1.282610175893344,6.353754689940251,3.208759870163298,0.09361301986500621,0.07207159532252153,0.24397755041718483,0.05576592676512244,0.20804052352905272,0.16891531790828096,4.3755859375,2.757482622880658,1.2416015625,1.2780394143939975,0.0376931851825399,0.04381456260072053,0.03668576422565793,-8.902762979453643,True,True,0.9810855386676267
B0018,LightGBM,Baseline,0.01770655372364783,0.0,20,0.015417651183344056,0.0,-1.857054016201228,0.0,2.258972547590336,0.0,0.0,0.0,0.011592659959569573,0.006228472461055129,0.4623000044375658,0.2737466877071457,0.058136272430419925,1.6107306749323916e-06,0.0,0.0,0.01953125,0.0,,,0.01770655372364783,0.0,,,
B0018,LightGBM,Bayesian,0.009720425485587266,0.0017713862280028362,20,0.008585195156789868,0.0016044267721926028,0.11180035008121467,0.33698729169665254,1.2529883302456526,0.23500773546765633,113.50300183994696,55.07989043803147,0.062225420004688205,0.032938483957768584,0.43042743345722556,0.09272093519038396,0.41840548515319825,0.2896379826280967,238.9634765625,69.87410245131628,0.23984375,0.4136014066234002,0.009066804666990561,0.010588115983642309,0.01770655372364783,45.10266855257532,True,False,0.6166628904133593
