battery,model,optimizer,test_RMSE_mean,test_RMSE_std,test_RMSE_min,test_RMSE_max,test_MAE_mean,test_R2_mean,test_MAPE_mean,hpo_time_mean,hpo_time_std,training_time_mean,training_time_std,model_size_mb_mean,model_size_mb_std,inference_ms_mean,hpo_ram_mean,train_ram_mean,n_runs,RMSE_CI_lower,RMSE_CI_upper,RandomSearch_RMSE,RMSE_Improvement_vs_RandomSearch_pct,Pareto_Optimal
B0018,LightGBM,GWO,0.010195931982685058,0.0016552569437286633,0.00800155908727644,0.013883804904772142,0.009103494472847497,0.028944132939367307,1.3290350419473962,2.439699129993096,0.8103201179341044,0.05423498502932489,0.024041313077833963,0.2863163471221924,0.15703765957103433,0.45196247519925237,1.3451171875,0.2158203125,20,0.009470483641589514,0.010921380323780603,0.016240365757895385,37.21858155978892,True
B0018,LightGBM,PSO,0.010890912240499078,0.0020935178800254835,0.007489037370600194,0.015944067522609635,0.009558259679490751,-0.11882611592824843,1.3956042440827183,2.8549960949923845,1.3734641105965377,0.054226380004547534,0.030976440126207497,0.3194260120391846,0.2019159123740558,0.46063499758020043,1.4078125,0.21640625,20,0.009973387575296826,0.011808436905701334,0.016240365757895385,32.93924285415571,True
B0018,LightGBM,RandomSearch,0.016240365757895385,0.0038357084147857233,0.011155422902223251,0.024034964036384526,0.014502932131447622,-1.5308575353192637,2.122527793969709,1.108806594926864,0.09004081960770612,0.03167328506242484,0.014023822553377755,0.14087910652160646,0.10152097343348089,0.4841599380597472,1.0943359375,0.0666015625,20,0.014559292425458933,0.017921439090331837,0.016240365757895385,0.0,True
B0018,LightGBM,WOA,0.01125097568790541,0.0025135090684049338,0.00819571648404226,0.018429464708739556,0.009846197322419417,-0.2082283016941325,1.4387470513569167,2.7797167599899693,1.5752615368591283,0.05134385002311319,0.03332528775743952,0.28851995468139646,0.246874435086524,0.47833252465352416,1.297265625,0.2671875,20,0.010149381768658351,0.012352569607152468,0.016240365757895385,30.722153333057435,True
B0018,RandomForest,Bayesian,0.011662316776453203,0.00041254696667954616,0.011041529145801891,0.012487074362843026,0.010752296925636987,-0.24089778383902766,1.571956340976677,92.31158348501194,38.3950007197418,0.2336981949629262,0.1730736453640971,1.7984445571899415,1.646986807052673,11.828789999708533,191.612890625,0.294140625,20,0.011481510096417468,0.011843123456488937,0.011868341790242723,1.735920800316846,False
B0018,RandomForest,GA,0.01208244188543521,0.000705546472447223,0.011013577408172154,0.01436472479255249,0.011067230742079751,-0.33464074986898834,1.6185790791354304,31.633782944991253,23.15869276381792,0.3342867900151759,0.2323817284911372,1.2298105239868165,1.1040968021235256,19.616412452887744,0.0736328125,0.0376953125,20,0.011773222510194485,0.012391661260675936,0.011868341790242723,-1.8039596346012294,False
B0018,RandomForest,GWO,0.011755686468844792,0.000400852528345131,0.011245535651328971,0.0127078614066505,0.010856052049385192,-0.26074079420006485,1.5870249060047672,27.61712217500899,12.530124014191765,0.2481522099580616,0.1443569386857432,1.6370119094848632,1.1073257929721199,13.33179003559053,0.067578125,0.0205078125,20,0.011580005102387648,0.011931367835301937,0.011868341790242723,0.9492086037709788,False
B0018,RandomForest,PSO,0.011917804096626813,0.0004339224206580222,0.011376606034243888,0.01293998359232314,0.010987906819036292,-0.2959535890164109,1.606541565807279,25.40922523997724,11.797390466876331,0.2660337649984285,0.1812201937754534,2.0019479751586915,1.5084367892908628,13.040580018423498,0.0513671875,0.029296875,20,0.011727629210834504,0.012107978982419122,0.011868341790242723,-0.416758358145317,False
B0018,RandomForest,RandomSearch,0.011868341790242723,0.00041843641995143973,0.011107703308062548,0.012936690714432044,0.010895149991061786,-0.28511798448869075,1.5931236194060387,26.037744814925826,16.25989281009316,0.29698828004766253,0.21614667523791775,1.284769630432129,0.9902398956184143,16.339712508488446,0.0486328125,0.016015625,20,0.011684953943505199,0.012051729636980243,0.011868341790242723,0.0,False
B0018,RandomForest,WOA,0.012330144227188002,0.0005305070089301982,0.01142682682705151,0.013050276882614606,0.011409110780997751,-0.38787312312618294,1.6676684422553258,20.696173394983635,12.14666553626353,0.19459027997218073,0.14033725781015663,1.09301700592041,0.9210726806043018,10.339505039155483,0.0376953125,0.0158203125,20,0.012097639279224432,0.012562649175151572,0.011868341790242723,-3.891044301782236,False
B0018,XGBoost,Bayesian,0.010376999581519114,0.0017719577097436447,0.00794901666788944,0.01452554273787368,0.009414650843622285,-0.008464257958778514,1.3748086746140389,121.43700703999494,93.07507298162716,0.1466193400323391,0.2228915020628798,0.3654785633087158,0.27391469767646726,0.2507199882529676,258.77890625,1.6970703125,20,0.009600404874639755,0.011153594288398473,0.04967794930534139,79.11145744415143,True
B0018,XGBoost,GA,0.049286182504593025,0.03452682438421764,0.009303178035296938,0.10800507865445477,0.0482909793534507,-31.4562601025601,7.040549637426338,4.561762405000627,1.09361777959664,0.07246044492349028,0.025221649051327386,0.23787589073181153,0.10353695484843263,0.2534975064918399,0.6029296875,0.426953125,20,0.034154134536012654,0.06441823047317338,0.04967794930534139,0.7886130692319908,False
B0018,XGBoost,GWO,0.023921747875280376,0.026637567681752634,0.008579907883978286,0.10770152372624255,0.022887157501813585,-10.357536094425779,3.3393515586728784,4.789327769982629,1.3128141345803457,0.08551824500318617,0.06042397290976344,0.21106905937194825,0.1328763715618022,0.26204001624137163,1.55390625,0.5849609375,20,0.012247319105316911,0.03559617664524385,0.04967794930534139,51.84634589433767,False
B0018,XGBoost,PSO,0.03454536930930543,0.04346703836160011,0.0075242658645573645,0.10843785270208121,0.0338368017686808,-26.231658818855664,4.9303728267554146,5.9024060249794275,2.413756962445347,0.09372504504863173,0.06582121725901321,0.2561066150665283,0.1427419325076845,0.24065501056611538,1.891796875,0.9373046875,20,0.015495099808108148,0.053595638810502694,0.04967794930534139,30.461362048229518,False
B0018,XGBoost,RandomSearch,0.04967794930534139,0.01210045593685843,0.02612527027032729,0.07240381580145408,0.04855208549111443,-22.756976673758075,7.0828776877068504,4.037752374960109,0.5274807223652154,0.060057809995487335,0.014937648928492002,0.19457392692565917,0.0812025596864897,0.2627275069244206,0.4453125,0.01875,20,0.044374690666764346,0.054981207943918434,0.04967794930534139,0.0,False
B0018,XGBoost,WOA,0.01132665973279694,0.003782987834562733,0.008447029111390234,0.026479672244607184,0.010491608007724534,-0.2929986742170822,1.5315973218265237,5.00671186002437,2.5544761875355997,0.0681091899983585,0.04214535998480335,0.1408781051635742,0.0800245174304951,0.24483250454068184,2.3978515625,0.57734375,20,0.009668692213394088,0.012984627252199793,0.04967794930534139,77.19982428586461,True
