run_id,battery,model,optimizer,test_RMSE,test_MAE,test_R2,test_MAPE,training_time,hpo_time,model_size_mb,inference_ms_per_sample,train_peak_ram_abs_mb,train_peak_ram_delta_mb,hpo_peak_ram_abs_mb,hpo_peak_ram_delta_mb
2,B0005,RandomForest,GWO,0.018598096153782735,0.016850671572463925,-3.9297289672414273,2.569733215989476,0.18347749998793006,17.22162690013647,1.6284494400024414,7.0356500800699,2513.2109375,0.01953125,2513.2109375,0.01953125
2,B0005,RandomForest,WOA,0.0189217293866478,0.017139297813034946,-4.102790277389104,2.6135832893575066,0.10690860031172633,12.701236700173467,1.1097116470336914,4.745250102132559,2513.2109375,0.01953125,2513.2109375,0.01953125
2,B0005,XGBoost,Bayesian,0.015954879930007576,0.014102384291846716,-2.6280490149074707,2.1516009138336147,0.10771180037409067,62.08777989959344,0.2912940979003906,0.3246001433581114,2741.43359375,4.0859375,2766.828125,253.63671875
2,B0005,XGBoost,RandomSearch,0.06859327844645262,0.06808551786464524,-66.05778230716454,10.340825202869814,0.05545319989323616,3.9019149001687765,0.16115951538085938,0.2531500067561865,2737.58203125,0.01953125,2737.82421875,0.49609375
2,B0005,XGBoost,PSO,0.015573187442887224,0.01389871063567653,-2.4565360213877083,2.1202720117201013,0.11936259968206286,8.863047800026834,0.2753639221191406,0.1855997834354639,2739.83203125,2.2578125,2740.61328125,3.046875
2,B0005,XGBoost,GA,0.059386421894531395,0.058792713586785034,-49.26438623604114,8.931752332710227,0.06557019986212254,4.896685900166631,0.31690311431884766,0.266549875959754,2737.6015625,0.01953125,2737.859375,0.28125
2,B0005,XGBoost,GWO,0.01543896669074278,0.013777380796263549,-2.3972110322623044,2.102145813979752,0.11190549982711673,11.241250399965793,0.29268455505371094,0.30519999563694,2742.9921875,3.55078125,2745.0078125,7.42578125
2,B0005,XGBoost,WOA,0.01499555426102313,0.013407382671333973,-2.2048751125120276,2.0454310718703947,0.09794260002672672,6.366052200086415,0.3703575134277344,0.15610014088451862,2745.5859375,6.13671875,2746.96875,7.52734375
2,B0005,LightGBM,Bayesian,0.019642871535422966,0.0181476351571856,-4.499155722954574,2.7660024397447827,0.01752900006249547,51.806028900202364,0.04522514343261719,0.4076496697962284,2938.9140625,0.00390625,2974.99609375,235.54296875
2,B0005,LightGBM,RandomSearch,0.02685209597825564,0.025228656544717495,-9.276434227611094,3.84313998010808,0.03403860004618764,1.305946699809283,0.21190166473388672,0.3598500043153763,2938.9296875,0.01953125,2939.93359375,1.0390625
2,B0005,LightGBM,PSO,0.01892349591888262,0.01730486862231031,-4.103743114639139,2.6385018353898406,0.18643310014158487,5.3001719997264445,1.0148582458496094,0.6955999415367842,2940.46875,1.03515625,2940.45703125,1.546875
2,B0005,LightGBM,GA,0.027208811633169818,0.025580535000440822,-9.551281586029209,3.8963775304570785,0.035891199950128794,1.6037395000457764,0.19318485260009766,0.352649949491024,2939.453125,0.01953125,2940.45703125,1.0234375
2,B0005,LightGBM,GWO,0.021255144378160475,0.019697358063929766,-5.4389371193931755,3.002215960731654,0.027957999613136053,1.4763409001752734,0.08421039581298828,0.360000180080533,2939.80859375,0.01953125,2940.7265625,1.29296875
2,B0005,LightGBM,WOA,0.02157667453387094,0.019930077805209164,-5.635216326010064,3.0373762514012195,0.014752500224858522,1.3478830000385642,0.11086654663085938,0.6368497852236032,2939.83203125,0.00390625,2940.8125,1.0234375
2,B0006,RandomForest,Bayesian,0.041264981938793924,0.03614856918678122,-3.991757398780483,6.239891740323625,0.46633780002593994,73.84921880019829,3.7964181900024414,27.929449919611216,3112.90234375,0.14453125,3144.14453125,204.33203125
2,B0006,RandomForest,RandomSearch,0.04048260882563449,0.03542943008322035,-3.8042670008046953,6.116245935003986,0.4927420997992158,26.61905310023576,2.782517433166504,18.335199914872646,3113.1328125,0.00390625,3113.1328125,0.25
2,B0006,RandomForest,PSO,0.041198726980651565,0.03645554023661199,-3.975740759325314,6.289112839070185,0.4755996000021696,27.515585800167173,2.0011606216430664,20.559549797326326,3113.13671875,0.0234375,3113.1328125,0.01953125
2,B0006,RandomForest,GA,0.041188815321343115,0.03620972798788848,-3.9733469030903255,6.249402679460263,0.441801399923861,37.46904450003058,2.241074562072754,22.33744994737208,3112.98828125,0.01953125,3113.1328125,0.01953125
2,B0006,RandomForest,GWO,0.04128622709441409,0.0361905926032031,-3.9968987054142664,6.246961646204969,0.5594631000421941,39.91314519988373,3.9939889907836914,26.57194994390011,3115.171875,0.01953125,3115.171875,2.203125
